Industry,Funding Stage,Product Stage,Backend Tech Stack,Frontend Tech,Compute Platform,AMD Platform Used,Primary Model Used,Founded Year,Total Funding ($),Team Size,Monthly Recurring Revenue ($),Valuation ($),Customer Base,"Fireworks AI Credits Used ($, cumulative)",Social Media Followers,Success Score
Legal & Compliance AI,Angel,Prototype,"Java, Spring Boot + Kafka",Next.js,Fireworks AI API,—,GLM 5.1,2025,2318.0,2,158.3,23100.0,62,11.41,2671,8.9
EdTech AI,Bootstrapped,MVP,"TypeScript, Fastify",Svelte,Own AMD GPU cluster,AMD Instinct MI325X,Mixtral 8x7B,2025,31.0,2,1.6,1200.0,18,0.0,707,5.1
Gaming AI,Bootstrapped,MVP,"Node.js, NestJS",React Native,Fireworks AI API,—,GLM 5.1,2025,39.0,2,5.4,2800.0,18,46.5,1639,5.4
Legal & Compliance AI,Bootstrapped,MVP,"TypeScript, Fastify",Svelte,Own AMD GPU cluster,ROCm on MI300X cluster,CodeLlama 34B,2025,14.0,3,0.7,3800.0,47,0.0,1529,7.0
Robotics & Vision AI,Bootstrapped,Prototype,"Node.js, GraphQL",Flutter (Dart),Own AMD GPU cluster,ROCm on MI250 cluster,Mixtral 8x7B,2025,88.0,2,9.9,2300.0,105,0.0,991,6.1
Logistics & Supply Chain AI,Pre-Seed,Private Beta,"TypeScript, Fastify",Vue,Fireworks AI API,—,GLM 5.1,2025,986.0,4,8.6,9200.0,13,111.28,3761,10.0
Developer Tools,Angel,Idea / Concept,"TypeScript, Fastify",Svelte,Own AMD GPU cluster,AMD Instinct MI300X,Gemma 2 9B,2025,978.0,4,15.5,8800.0,232,0.0,1240,10.0
EdTech AI,Bootstrapped,MVP,"Node.js, GraphQL",Flutter (Dart),Fireworks AI API,—,MiniMax-M2.7,2026,58.0,3,10.2,2500.0,123,1.41,3468,6.7
Cybersecurity AI,Pre-Seed,MVP,"Node.js, NestJS",React,Fireworks AI API,—,Kimi K2.6,2025,1266.0,4,32.5,6000.0,38,78.58,1160,10.0
Climate & Energy AI,Seed,Public Beta,"Node.js, NestJS",Flutter (Dart),Fireworks AI API,—,DeepSeek V4 Pro,2023,2461.0,8,128.0,21200.0,66,781.08,2042,10.0
Climate & Energy AI,Bootstrapped,Public Beta,"Node.js, NestJS",Flutter (Dart),Fireworks AI API,—,Kimi K2.5,2026,82.0,2,5.5,2800.0,6,5.96,4473,4.6
Climate & Energy AI,Seed,MVP,"Java, Spring Boot",Vue,Own AMD GPU cluster,AMD Instinct MI300X,Whisper Large v3,2023,9782.0,4,1027.6,58600.0,35,0.0,4617,10.0
E-commerce AI,Pre-Seed,MVP,"Java, Quarkus",React,Own AMD GPU cluster,AMD Radeon PRO W7900,Gemma 2 9B,2024,1400.0,3,0.4,9500.0,169,0.0,256,9.0
Logistics & Supply Chain AI,Pre-Seed,MVP,"Java, Spring Boot",React Native,Fireworks AI API,—,DeepSeek V4 Pro,2025,1097.0,4,42.6,9300.0,0,97.34,1866,10.0
Robotics & Vision AI,Bootstrapped,Private Beta,"Node.js, Express",Next.js,Own AMD GPU cluster,AMD Instinct MI300X,Llama 3.1 8B,2026,133.0,2,0.2,5600.0,82,0.0,3360,6.5
FinTech AI,Angel,Launched,"Java, Spring Boot + Kafka",React Native,Fireworks AI API,—,GLM 5.1,2023,2784.0,3,607.3,25000.0,8,198.83,3029,10.0
Developer Tools,Pre-Seed,MVP,"Java, Quarkus",React,Fireworks AI API,—,Kimi K2.5,2025,624.0,2,46.2,4400.0,15,17.11,2885,5.7
Voice & Audio AI,Pre-Seed,MVP,"Node.js, NestJS",Next.js,Own AMD GPU cluster,ROCm on MI300X cluster,Mistral 7B,2025,452.0,5,51.6,6200.0,90,0.0,775,10.0
Logistics & Supply Chain AI,Series A,Launched,"Java, Spring Boot",Flutter (Dart),Fireworks AI API,—,DeepSeek V4 Pro,2025,67068.0,17,4577.8,333600.0,100,2241.79,400,10.0
HealthTech AI,Seed,Private Beta,"Node.js, Express",React,Fireworks AI API,—,Kimi K2.5,2025,6104.0,6,684.8,27100.0,292,81.18,2109,10.0
Gaming AI,Seed,Public Beta,"Node.js, NestJS",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2025,3594.0,3,189.5,33500.0,147,261.81,9720,10.0
HealthTech AI,Pre-Seed,Public Beta,"TypeScript, Fastify",React Native,Own AMD GPU cluster,AMD Radeon PRO W7900,SDXL Turbo,2023,784.0,4,32.1,3900.0,85,0.0,4181,7.3
Gaming AI,Bootstrapped,Prototype,"Node.js, GraphQL",Svelte,Fireworks AI API,—,MiniMax-M2.7,2024,91.0,3,0.2,2600.0,34,29.71,1573,6.1
Gaming AI,Bootstrapped,Public Beta,"Java, Spring Boot",React Native,Own AMD GPU cluster,ROCm on MI300X cluster,Llama 3.1 70B,2025,5.0,2,0.3,4300.0,61,0.0,2648,5.7
Logistics & Supply Chain AI,Seed,Prototype,"Node.js, NestJS",React Native,Fireworks AI API,—,MiniMax-M2.7,2024,6375.0,5,5.0,24800.0,193,5.53,1433,10.0
Creative & Media AI,Angel,Prototype,"Node.js, Express",Flutter (Dart),Fireworks AI API,—,DeepSeek V4 Pro,2025,2436.0,2,13.3,18900.0,9,31.63,1719,9.3
FinTech AI,Pre-Seed,Public Beta,"Java, Quarkus",Vue,Own AMD GPU cluster,ROCm on MI300X cluster,SDXL Turbo,2026,317.0,2,9.6,3600.0,21,0.0,3143,6.7
E-commerce AI,Seed,Public Beta,"Java, Quarkus",Next.js,Fireworks AI API,—,Kimi K2.6,2025,9823.0,3,56.4,45300.0,55,28.29,319,10.0
Voice & Audio AI,Pre-Seed,Launched,"Node.js, Express",Flutter (Dart),Fireworks AI API,—,DeepSeek V4 Flash,2024,822.0,4,38.7,8600.0,207,21.28,2992,10.0
FinTech AI,Seed,MVP,"TypeScript, Fastify",React Native,Fireworks AI API,—,GLM 5.1,2023,2300.0,8,85.5,21500.0,16,378.99,820,10.0
Legal & Compliance AI,Bootstrapped,Prototype,"Java, Spring Boot",Flutter (Dart),Fireworks AI API,—,GLM 5.1,2025,97.0,2,1.5,4000.0,53,70.05,609,7.1
Robotics & Vision AI,Seed,MVP,"Java, Quarkus",Flutter (Dart),Own AMD GPU cluster,AMD Radeon PRO W7900,Qwen2.5 32B,2023,14847.0,4,228.5,88800.0,0,0.0,12197,10.0
Creative & Media AI,Bootstrapped,MVP,"Java, Quarkus",React,Own AMD GPU cluster,AMD Instinct MI250,Gemma 2 9B,2023,33.0,2,3.6,1000.0,39,0.0,4279,5.8
Legal & Compliance AI,Pre-Seed,MVP,"Java, Micronaut",Vue,Own AMD GPU cluster,AMD Instinct MI250,Mixtral 8x7B,2024,744.0,3,55.7,2900.0,72,0.0,4420,8.3
EdTech AI,Seed,Launched,"Node.js, GraphQL",Svelte,Fireworks AI API,—,DeepSeek V4 Pro,2025,10232.0,9,508.5,58900.0,144,282.88,6104,10.0
EdTech AI,Pre-Seed,Launched,"Node.js, NestJS",Svelte,Own AMD GPU cluster,AMD Instinct MI325X,Llama 3.1 70B,2024,301.0,3,7.4,3100.0,3,0.0,896,5.1
HealthTech AI,Pre-Seed,Private Beta,"Node.js, NestJS",Flutter (Dart),Fireworks AI API,—,MiniMax-M2.7,2024,732.0,2,14.2,7500.0,38,23.94,2683,6.1
Voice & Audio AI,Pre-Seed,MVP,"Java, Micronaut",Svelte,Own AMD GPU cluster,AMD Instinct MI250,CodeLlama 34B,2023,1175.0,5,90.4,7300.0,58,0.0,2265,8.6
EdTech AI,Pre-Seed,MVP,"Java, Micronaut",Next.js,Fireworks AI API,—,MiniMax-M2.7,2026,799.0,5,29.3,4500.0,6,0.49,2213,4.9
Creative & Media AI,Seed,MVP,"Node.js, NestJS",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2024,18365.0,7,626.6,69600.0,249,381.0,1306,10.0
Voice & Audio AI,Seed,Private Beta,"Java, Micronaut",React,Own AMD GPU cluster,AMD Instinct MI325X,Mixtral 8x7B,2024,2396.0,8,181.7,12200.0,63,0.0,3156,10.0
HealthTech AI,Pre-Seed,Launched,"Java, Micronaut",Svelte,Fireworks AI API,—,Kimi K2.5,2026,1080.0,3,4.8,11400.0,51,25.78,575,8.2
Developer Tools,Bootstrapped,MVP,"Java, Spring Boot",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2025,10.0,2,0.7,1200.0,61,188.61,933,9.0
Developer Tools,Bootstrapped,Public Beta,"TypeScript, Fastify",Next.js,Fireworks AI API,—,DeepSeek V4 Flash,2024,149.0,2,12.1,2300.0,28,9.52,3622,4.2
HealthTech AI,Seed,Public Beta,"Java, Quarkus",Flutter (Dart),Fireworks AI API,—,GLM 5.1,2024,12592.0,9,189.9,40900.0,78,271.44,10321,10.0
Creative & Media AI,Angel,MVP,"Node.js, Express",Next.js,Own AMD GPU cluster,AMD Radeon PRO W7900,Whisper Large v3,2024,376.0,2,15.0,2000.0,39,0.0,828,5.6
EdTech AI,Pre-Seed,MVP,"Java, Spring Boot + Kafka",Vue,Fireworks AI API,—,DeepSeek V4 Flash,2024,1144.0,4,49.9,9700.0,18,42.32,3111,8.3
Climate & Energy AI,Pre-Seed,Prototype,"Java, Micronaut",Next.js,Own AMD GPU cluster,AMD Instinct MI325X,Stable Diffusion XL,2023,1460.0,3,26.7,15400.0,26,0.0,2740,8.6
FinTech AI,Pre-Seed,Public Beta,"Java, Micronaut",React Native,Own AMD GPU cluster,ROCm on MI250 cluster,SDXL Turbo,2026,564.0,2,70.4,7400.0,44,0.0,1148,6.7
EdTech AI,Pre-Seed,Prototype,"Java, Spring Boot + Kafka",Next.js,Fireworks AI API,—,GPT-OSS-120B (high),2026,596.0,4,1.8,6600.0,22,3.99,1350,5.7
Voice & Audio AI,Angel,MVP,"Java, Quarkus",Next.js,Fireworks AI API,—,DeepSeek V4 Flash,2024,2710.0,4,170.0,13600.0,18,35.75,6915,10.0
FinTech AI,Angel,Public Beta,"Java, Spring Boot",Next.js,Own AMD GPU cluster,ROCm on MI250 cluster,Llama 3.1 70B,2026,2739.0,4,24.0,18000.0,40,0.0,685,9.9
Legal & Compliance AI,Bootstrapped,MVP,"Node.js, Express",React Native,Fireworks AI API,—,Kimi K2.6,2026,44.0,2,1.9,1600.0,68,23.13,1573,5.8
Logistics & Supply Chain AI,Seed,MVP,"Java, Quarkus",Svelte,Own AMD GPU cluster,AMD Instinct MI250,SDXL Turbo,2026,10974.0,7,27.2,44500.0,9,0.0,5826,10.0
Robotics & Vision AI,Bootstrapped,Private Beta,"Node.js, GraphQL",React,Own AMD GPU cluster,AMD Instinct MI300X,Stable Diffusion XL,2023,111.0,3,5.6,4400.0,38,0.0,3239,7.1
Voice & Audio AI,Seed,MVP,"Node.js, GraphQL",Vue,Fireworks AI API,—,GPT-OSS-120B (high),2025,6731.0,7,757.6,61000.0,151,56.36,2030,10.0
Developer Tools,Bootstrapped,Private Beta,"Node.js, Express",Next.js,Fireworks AI API,—,MiniMax-M2.7,2023,18.0,2,0.0,3100.0,24,59.22,4263,7.5
Gaming AI,Bootstrapped,Prototype,"Node.js, GraphQL",Next.js,Fireworks AI API,—,Kimi K2.6,2025,116.0,2,4.2,4300.0,109,109.27,391,10.0
Gaming AI,Seed,Private Beta,"Node.js, NestJS",React,Fireworks AI API,—,GLM 5.1,2025,4098.0,11,175.2,21300.0,24,91.26,344,10.0
EdTech AI,Bootstrapped,MVP,"Java, Spring Boot + Kafka",Vue,Fireworks AI API,—,Kimi K2.6,2024,6.0,3,0.0,1900.0,47,224.72,536,10.0
Gaming AI,Pre-Seed,Public Beta,"TypeScript, Fastify",Svelte,Own AMD GPU cluster,ROCm on MI300X cluster,Qwen2.5 32B,2024,1413.0,2,5.0,7600.0,17,0.0,2955,6.1
Robotics & Vision AI,Seed,Idea / Concept,"Java, Micronaut",React,Own AMD GPU cluster,AMD Instinct MI300X,Llama 3.1 70B,2024,4335.0,6,212.9,24400.0,156,0.0,337,10.0
FinTech AI,Seed,Private Beta,"Java, Quarkus",Flutter (Dart),Own AMD GPU cluster,AMD Radeon PRO W7900,CodeLlama 34B,2024,9610.0,4,68.3,67200.0,45,0.0,2522,10.0
Developer Tools,Pre-Seed,Prototype,"Node.js, Express",React Native,Fireworks AI API,—,Kimi K2.6,2024,1474.0,4,171.8,8000.0,12,268.72,1015,10.0
Logistics & Supply Chain AI,Bootstrapped,MVP,"Java, Spring Boot",React Native,Own AMD GPU cluster,ROCm on MI300X cluster,SDXL Turbo,2023,27.0,1,0.2,800.0,5,0.0,2634,5.3
Legal & Compliance AI,Bootstrapped,Prototype,"Node.js, Express",React Native,Own AMD GPU cluster,ROCm on MI300X cluster,CodeLlama 34B,2025,38.0,2,1.7,1400.0,3,0.0,4277,4.3
Cybersecurity AI,Pre-Seed,MVP,"Node.js, Express",Vue,Fireworks AI API,—,GPT-OSS-120B (high),2023,411.0,4,9.8,5500.0,261,72.37,4646,10.0
Gaming AI,Seed,Launched,"Node.js, NestJS",Next.js,Own AMD GPU cluster,AMD Instinct MI300X,Qwen2.5 32B,2025,6978.0,9,280.5,33400.0,134,0.0,3160,10.0
Cybersecurity AI,Seed,Prototype,"Java, Spring Boot + Kafka",Svelte,Fireworks AI API,—,GPT-OSS-120B (high),2025,16656.0,9,634.5,150300.0,9,16.21,1483,10.0
Legal & Compliance AI,Series A,Private Beta,"Node.js, Express",Vue,Own AMD GPU cluster,AMD Instinct MI325X,Gemma 2 9B,2025,68685.0,10,260.1,385300.0,239,0.0,2252,10.0
Voice & Audio AI,Seed,MVP,"Java, Spring Boot + Kafka",Next.js,Own AMD GPU cluster,AMD Instinct MI250,Stable Diffusion XL,2025,9380.0,5,3.2,75700.0,97,0.0,3006,10.0
Climate & Energy AI,Bootstrapped,Prototype,"Java, Spring Boot",Vue,Fireworks AI API,—,MiniMax-M2.7,2026,48.0,3,11.9,2400.0,72,0.99,4000,5.5
Creative & Media AI,Pre-Seed,Idea / Concept,"TypeScript, Fastify",React,Own AMD GPU cluster,AMD Radeon PRO W7900,CodeLlama 34B,2025,379.0,5,37.5,6200.0,20,0.0,2734,7.3
HealthTech AI,Seed,MVP,"Java, Quarkus",Flutter (Dart),Fireworks AI API,—,GPT-OSS-120B (high),2025,14591.0,10,481.7,119100.0,95,72.05,267,10.0
Creative & Media AI,Bootstrapped,Prototype,"Java, Spring Boot",Vue,Own AMD GPU cluster,AMD Radeon PRO W7900,Llama 3.1 8B,2025,141.0,3,1.1,3600.0,142,0.0,2431,8.2
Robotics & Vision AI,Bootstrapped,MVP,"Java, Micronaut",Svelte,Own AMD GPU cluster,ROCm on MI300X cluster,CodeLlama 34B,2023,113.0,3,4.2,2000.0,250,0.0,7170,10.0
Creative & Media AI,Bootstrapped,Launched,"Java, Spring Boot",React,Fireworks AI API,—,DeepSeek V4 Flash,2024,59.0,1,0.9,3100.0,37,15.35,580,4.6
Robotics & Vision AI,Pre-Seed,MVP,"Node.js, GraphQL",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI250,Mixtral 8x7B,2026,1050.0,3,318.4,6200.0,11,0.0,1953,8.3
Legal & Compliance AI,Bootstrapped,Private Beta,"TypeScript, Fastify",Svelte,Own AMD GPU cluster,AMD Instinct MI300X,Llama 3.1 70B,2025,78.0,2,1.8,5200.0,120,0.0,2079,6.6
Gaming AI,Bootstrapped,Public Beta,"Java, Spring Boot + Kafka",React Native,Fireworks AI API,—,DeepSeek V4 Pro,2023,102.0,1,9.6,3700.0,8,219.25,2473,8.3
Creative & Media AI,Angel,Launched,"Node.js, NestJS",React Native,Own AMD GPU cluster,AMD Instinct MI325X,Llama 3.1 8B,2023,1449.0,4,22.4,7400.0,17,0.0,5013,7.8
Cybersecurity AI,Series A,Idea / Concept,"Node.js, NestJS",Next.js,Fireworks AI API,—,GPT-OSS-120B (high),2024,23764.0,17,121.9,173300.0,64,129.82,2796,10.0
Creative & Media AI,Pre-Seed,Idea / Concept,"Java, Quarkus",Next.js,Own AMD GPU cluster,ROCm on MI300X cluster,Qwen2.5 32B,2025,399.0,4,38.6,2400.0,54,0.0,1526,7.7
Gaming AI,Bootstrapped,MVP,"Node.js, NestJS",Flutter (Dart),Fireworks AI API,—,DeepSeek V4 Flash,2025,118.0,2,13.7,5600.0,99,5.81,4843,7.0
Climate & Energy AI,Bootstrapped,Idea / Concept,"Node.js, GraphQL",React,Fireworks AI API,—,DeepSeek V4 Flash,2025,34.0,2,2.1,5000.0,29,8.92,1252,4.7
E-commerce AI,Bootstrapped,Public Beta,"Java, Spring Boot + Kafka",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2024,12.0,1,1.1,2800.0,3,119.05,4888,8.6
Creative & Media AI,Seed,Launched,"Node.js, NestJS",Svelte,Own AMD GPU cluster,AMD Radeon PRO W7900,Mistral 7B,2023,3389.0,4,148.0,31700.0,103,0.0,3465,10.0
Developer Tools,Bootstrapped,Public Beta,"Java, Quarkus",Next.js,Fireworks AI API,—,MiniMax-M2.7,2024,109.0,2,10.5,2700.0,259,8.62,7119,9.6
Robotics & Vision AI,Pre-Seed,Private Beta,"Java, Spring Boot",React,Fireworks AI API,—,DeepSeek V4 Pro,2025,1469.0,4,30.6,5900.0,31,217.12,3854,10.0
Cybersecurity AI,Bootstrapped,Private Beta,"Node.js, GraphQL",Vue,Own AMD GPU cluster,AMD Instinct MI250,Llama 3.1 70B,2026,148.0,1,3.4,4800.0,3,0.0,4591,4.8
Climate & Energy AI,Bootstrapped,MVP,"Java, Spring Boot",React Native,Own AMD GPU cluster,AMD Radeon PRO W7900,Llama 3.1 8B,2025,105.0,2,1.2,5600.0,49,0.0,2926,6.0
Robotics & Vision AI,Pre-Seed,Public Beta,"Node.js, Express",Vue,Own AMD GPU cluster,AMD Radeon PRO W7900,Stable Diffusion XL,2025,640.0,2,53.8,3900.0,84,0.0,475,7.0
EdTech AI,Bootstrapped,MVP,"TypeScript, Fastify",Svelte,Own AMD GPU cluster,AMD Instinct MI250,Mixtral 8x7B,2026,101.0,3,34.5,4100.0,111,0.0,1635,8.9
HealthTech AI,Pre-Seed,Private Beta,"Java, Quarkus",Vue,Fireworks AI API,—,GPT-OSS-120B (high),2025,1032.0,3,88.1,9800.0,46,15.21,142,7.2
HealthTech AI,Seed,MVP,"Java, Spring Boot + Kafka",Vue,Fireworks AI API,—,GLM 5.1,2026,16049.0,3,27.4,70600.0,72,6.09,1541,9.9
Logistics & Supply Chain AI,Pre-Seed,Public Beta,"Java, Micronaut",Next.js,Own AMD GPU cluster,AMD Instinct MI300X,Mistral 7B,2026,648.0,4,33.2,2900.0,43,0.0,123,7.5
Enterprise SaaS,Seed,Launched,"Java, Micronaut",Next.js,Own AMD GPU cluster,AMD Radeon PRO W7900,Llama 3.1 70B,2025,10967.0,9,60.2,89100.0,44,0.0,6925,10.0
Cybersecurity AI,Pre-Seed,Public Beta,"TypeScript, Fastify",React Native,Own AMD GPU cluster,AMD Instinct MI250,Llama 3.1 70B,2024,524.0,5,46.0,6400.0,15,0.0,2296,7.9
HealthTech AI,Series A,Prototype,"Java, Spring Boot",Flutter (Dart),Fireworks AI API,—,DeepSeek V4 Pro,2023,66341.0,11,7540.5,587600.0,21,7763.09,629,10.0
HealthTech AI,Pre-Seed,Private Beta,"Java, Spring Boot",Svelte,Fireworks AI API,—,DeepSeek V4 Flash,2025,959.0,3,17.8,8400.0,133,8.06,850,9.1
Creative & Media AI,Seed,Private Beta,"Java, Quarkus",Next.js,Own AMD GPU cluster,ROCm on MI300X cluster,Llama 3.1 70B,2025,2888.0,11,2.4,23600.0,19,0.0,106,10.0
Voice & Audio AI,Seed,Private Beta,"Java, Quarkus",React Native,Own AMD GPU cluster,AMD Instinct MI325X,Llama 3.1 70B,2024,10295.0,9,1332.0,44100.0,254,0.0,235,10.0
Voice & Audio AI,Seed,MVP,"Node.js, NestJS",Vue,Fireworks AI API,—,GLM 5.1,2025,19173.0,4,462.1,170300.0,29,30.61,2193,10.0
EdTech AI,Pre-Seed,Public Beta,"Java, Quarkus",Flutter (Dart),Fireworks AI API,—,Kimi K2.6,2026,662.0,3,26.7,4600.0,260,11.15,477,9.3
Legal & Compliance AI,Bootstrapped,Private Beta,"Node.js, Express",Next.js,Own AMD GPU cluster,AMD Instinct MI300X,Whisper Large v3,2025,129.0,3,2.5,1100.0,20,0.0,4705,6.6
Cybersecurity AI,Seed,MVP,"Java, Spring Boot + Kafka",React,Fireworks AI API,—,DeepSeek V4 Flash,2023,17936.0,11,91.4,123400.0,49,75.27,2240,10.0
HealthTech AI,Seed,MVP,"TypeScript, Fastify",Vue,Fireworks AI API,—,MiniMax-M2.7,2025,18826.0,6,2479.6,110300.0,36,167.33,5250,10.0
Robotics & Vision AI,Seed,Public Beta,"TypeScript, Fastify",React Native,Fireworks AI API,—,DeepSeek V4 Flash,2025,17139.0,11,977.6,115500.0,94,39.41,3082,10.0
Gaming AI,Pre-Seed,Private Beta,"Node.js, GraphQL",React,Fireworks AI API,—,DeepSeek V4 Pro,2025,105.0,3,1.0,5400.0,12,83.39,684,9.6
FinTech AI,Seed,Idea / Concept,"Java, Quarkus",Flutter (Dart),Fireworks AI API,—,GLM 5.1,2023,5641.0,6,629.9,37200.0,49,108.39,263,10.0
Voice & Audio AI,Pre-Seed,Public Beta,"Java, Spring Boot",Flutter (Dart),Fireworks AI API,—,Kimi K2.6,2023,332.0,3,0.3,1300.0,113,422.19,1813,10.0
E-commerce AI,Bootstrapped,Public Beta,"TypeScript, Fastify",React Native,Fireworks AI API,—,Kimi K2.5,2025,92.0,3,4.1,5200.0,68,21.49,1099,7.6
HealthTech AI,Angel,Private Beta,"TypeScript, Fastify",Svelte,Fireworks AI API,—,GLM 5.1,2024,2731.0,4,81.9,28700.0,198,236.97,1244,10.0
Gaming AI,Pre-Seed,Private Beta,"TypeScript, Fastify",Svelte,Own AMD GPU cluster,ROCm on MI300X cluster,CodeLlama 34B,2024,1044.0,3,83.3,7000.0,113,0.0,3096,8.0
Gaming AI,Series A,Prototype,"TypeScript, Fastify",Svelte,Own AMD GPU cluster,AMD Instinct MI300X,Whisper Large v3,2026,57034.0,7,1125.3,496500.0,40,0.0,656,10.0
Cybersecurity AI,Bootstrapped,Launched,"Node.js, NestJS",React,Own AMD GPU cluster,AMD Instinct MI325X,Qwen2.5 32B,2024,107.0,3,3.5,4800.0,135,0.0,4897,8.2
Developer Tools,Pre-Seed,Private Beta,"Node.js, NestJS",React Native,Fireworks AI API,—,GLM 5.1,2026,1156.0,2,28.0,8600.0,5,4.46,4033,5.0
Cybersecurity AI,Pre-Seed,Prototype,"TypeScript, Fastify",Next.js,Own AMD GPU cluster,AMD Instinct MI325X,Mistral 7B,2025,951.0,4,31.4,9700.0,114,0.0,529,8.9
Legal & Compliance AI,Bootstrapped,MVP,"Java, Quarkus",React,Fireworks AI API,—,MiniMax-M2.7,2024,138.0,3,11.0,3500.0,44,27.22,1981,5.5
Enterprise SaaS,Series A,Launched,"Java, Micronaut",Next.js,Fireworks AI API,—,GPT-OSS-120B (high),2026,43862.0,11,351.8,262500.0,35,9.73,693,10.0
EdTech AI,Pre-Seed,Prototype,"TypeScript, Fastify",Flutter (Dart),Fireworks AI API,—,Kimi K2.6,2025,356.0,5,10.9,5100.0,4,145.11,4277,9.7
Legal & Compliance AI,Bootstrapped,MVP,"Node.js, NestJS",Next.js,Fireworks AI API,—,GPT-OSS-120B (high),2025,51.0,3,2.1,1900.0,40,13.71,800,5.8
Robotics & Vision AI,Pre-Seed,Idea / Concept,"Java, Micronaut",React,Fireworks AI API,—,MiniMax-M2.7,2024,185.0,5,13.5,3100.0,29,45.72,1997,6.8
Logistics & Supply Chain AI,Seed,MVP,"Node.js, Express",Vue,Own AMD GPU cluster,AMD Radeon PRO W7900,Whisper Large v3,2025,2453.0,6,2.1,16400.0,255,0.0,1308,10.0
Legal & Compliance AI,Angel,MVP,"Java, Spring Boot + Kafka",React Native,Own AMD GPU cluster,AMD Instinct MI250,Qwen2.5 32B,2025,1086.0,2,11.0,6700.0,2,0.0,2101,6.9
Voice & Audio AI,Pre-Seed,MVP,"Node.js, GraphQL",Flutter (Dart),Fireworks AI API,—,Kimi K2.6,2023,948.0,3,7.6,4800.0,3,93.99,2379,8.4
Enterprise SaaS,Bootstrapped,Private Beta,"Java, Quarkus",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2024,149.0,2,3.5,5600.0,19,311.29,40,9.2
E-commerce AI,Angel,MVP,"TypeScript, Fastify",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2025,1337.0,4,61.1,13600.0,79,243.27,2015,10.0
